gene name	list of shared diseases
PUS10	"Iatrogenic Disease;Graves Disease;Pediatric ulcerative colitis;Periapical Diseases;""Diabetes Mellitus, Type 6"";Periodontitis;Periapical Abscess;Arthralgia;Hemoptysis;Sepsis;Breast Diseases;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Migraine with Aura;Exophthalmos;"
FBXL20	"Diabetes Mellitus, Type 1;Urethritis;Hypertensive Retinopathy;Uterine Cervical Neoplasms;Goiter;Lymphadenitis;"
TRPT1	"Esophageal Neoplasms;Hypoparathyroidism;Blister;Stomach Neoplasms;Hemoptysis;Insect Bites and Stings;""Acne, Adult"";""Parathyroid Glands, Agenesis Of"";Alcohol-Related Disorders;Conduct Disorder;Heart Valve Diseases;"
PARD3	Pneumothorax;Cholecystitis;Chronic Disease;Intervertebral disc disease;Proteinuria;Hypertension;Anisometropia;Colonic Neoplasms;Upper Extremity Deep Vein Thrombosis;Neck Pain;Cholelithiasis;Umbilical cord ulceration and intestinal atresia;
SELL	Iron-Refractory Iron Deficiency Anemia;Colonic Neoplasms;Digestive System Neoplasms;Breast Diseases;Intervertebral disc disease;Chronic Disease;Salivary Gland Diseases;Otitis Externa;Hydronephrosis;
BTD	"Pulmonary Hypertension, Primary, Autosomal Recessive;Wandering Spleen;Otitis Media;Diabetic Retinopathy;Cholesteatoma;"
AGBL1	"Diabetes Mellitus, Type 7;Diabetic Retinopathy;Multiple Sclerosis;""Diabetes Mellitus, Type 4"";"
PID1	Pediatric ulcerative colitis;Skin Neoplasms;Overweight;Chronic Disease;Bursitis;Chondrocalcinosis;Inflammatory Bowel Disease;Sarcoidosis;
CMAS	Hemorrhoids;Strabismus;Intervertebral disc disease;Osteomyelitis;Hyperthyroidism;
LRRC32	"Cellulitis;Intervertebral Disc Displacement;""Gastritis, Atrophic"";Lip Diseases;Respiratory Insufficiency;Major Depressive Disorder;Mental Disorders;Spinal Stenosis;"
EPAS1	"Menopause, Premature;Idiopathic orthostatic hypotension;Lung Neoplasms;Mastodynia;"
MCF2L	"Cardiomyopathy, Dilated;Cardiomyopathies;""Heart Failure, Systolic"";Hypernatremia;""Amino Acid Transport Disorders, Inborn"";"
SKAP1	Drug Resistant Epilepsy;
PBRM1	Lipoma;Anxiety Disorders;Myocardial Infarction;Temporomandibular Joint Disorders;Airway Obstruction;Postoperative Nausea and Vomiting;Chronic Disease;Hypoglycemia;Bronchitis;Celiac Disease;
FAM135B	Hyperlipidemias;Rosacea;Cellulitis;Gout;
ARL5B	"Asthma;Airway Obstruction;""Diabetes Mellitus, Type 5"";Chronic Disease;""Diabetes Mellitus, Type 4"";Renal Colic;Emphysema;Impetigo;"
TFPI	Linear IgA Bullous Dermatosis;Hematuria;Cellulitis;
FUNDC1	"Adenocarcinoma in Situ;Otosclerosis;""Genital Neoplasms, Female"";Endometriosis;Postoperative Nausea and Vomiting;Phosphorus Metabolism Disorders;"
IKZF2	Hirsutism;Otosclerosis;Heart Septal Defects;Hyperlipidemias;
SLIT3	"Myasthenia Gravis;Pneumonia;Urethritis;Dental Caries;Alopecia Areata;Otosclerosis;Breast Neoplasms;Delirium;""Diabetes Mellitus, Type 5"";"
SLIT2	"Gout;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";""Lupus Erythematosus, Systemic"";"
BTN1A1	Iron Metabolism Disorders;Bacteremia;Biliary cirrhosis;Multiple Sclerosis;Skin Neoplasms;Gynecomastia;Atrial flutter;Carbuncle;Chronic Disease;Pancreatitis;Genu Varum;
SH3GL3	"Hematuria;""Acromegaloid features, overgrowth, cleft palate, and hernia"";""Neoplasms, Connective Tissue"";Hallux Valgus;Mental Disorders;Linear IgA Bullous Dermatosis;Sacroiliitis;Corneal Diseases;Schizophrenia;Speech Disorders;"
SKAP2	"Hallux Valgus;""Aplastic anemia, idiopathic"";Renal Osteodystrophy;"
ADAMTS12	"Meniere Disease;Muscular Dystrophies;""Menopause, Premature"";Heart Valve Diseases;Otitis Externa;Colles' Fracture;""Genital Diseases, Male"";Uterine Prolapse;Aortic Aneurysm;"
ADAMTSL3	"Hereditary Breast and Ovarian Cancer Syndrome;""Neoplasms, Connective Tissue"";Myasthenia Gravis;""Genital Neoplasms, Female"";Periapical Abscess;Pulmonary Embolism;"
ADRB1	"Conjunctival Diseases;Aphasia;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Hyperparathyroidism;Liver Abscess;Osteomyelitis;""Rheumatoid Arthritis, Systemic Juvenile"";Retinal Diseases;Heart Valve Diseases;Corneal Edema;"
ALPK1	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;""Phobia, Specific"";Conjunctival Diseases;Salivary Gland Diseases;Pelvic Inflammatory Disease;Osteoarthritis;Peripheral Arterial Disease;Aortic Aneurysm;"
SNX16	Schizophrenia;Testicular Hydrocele;Tricuspid Valve Insufficiency;Celiac Disease;
AGER	"Rheumatoid Arthritis, Systemic Juvenile;Cholangitis;Bundle-Branch Block;Atrial Fibrillation;Erectile Dysfunction;Atrial Flutter;Bronchiectasis;Urethritis;Hearing Loss;Hypotension;"
WNT10A	Delirium;Aphasia;
MICA	"Intervertebral Disc Degeneration;Psoriasis;Intervertebral disc disease;Mental Disorders;Lip Diseases;Presenile And Senile Dementia;Glaucoma;""Genital Diseases, Male"";"
RPL22P13	"Urethral Stricture;""Corneal Degeneration, Ribbonlike, with Deafness"";Graves Disease;Strabismus;Retinal Detachment;""Tachycardia, Sinoatrial Nodal Reentry"";Lip Diseases;Sacroiliitis;"
PCDP1	"Warts;Asthma;""Depression, Postpartum"";Urethral Stricture;Mood Disorders;Neutropenia;Hypovolemia;Chronic Disease;Urinary Retention;""Insomnia, Fatal Familial"";""Hepatitis, Viral, Human"";Movement Disorders;Rosacea;""Hernia, Femoral"";"
EYA1	Mental Disorders;Cystic Kidney Disease;
CSF1	Cellulitis;Tuberculosis;
TOPBP1	"Schizophrenia;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Anisometropia;Obsessive-Compulsive Disorder;Intracranial Hemorrhages;Periapical Abscess;""Intestinal polyposis, osteomas, sebaceous cysts"";Orbital Cellulitis;"
TNFAIP3	"Mastoiditis;""Diabetes Mellitus, Type 6"";Alkalosis;Borderline Personality Disorder;Pulmonary Fibrosis;Gestational Diabetes Insipidus;Bacterial Infections;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Gastroenteritis;Optic Atrophy;Liver Abscess;""Corneal Dystrophy, Fuchs Endothelial, 3"";""Heart Failure, Systolic"";Somatoform Disorders;Epilepsy;Urinary Retention;Iron-Refractory Iron Deficiency Anemia;Hypercalcemia;"
THSD7B	"Thrombocytopenia;Feeding and Eating Disorders;""Cardiac Arrhythmia, Ankyrin-B-Related"";Iron-Refractory Iron Deficiency Anemia;Hammer Toe Syndrome;Glycosuria;"
APOB	"Hypercholesterolemia;Hyperlipidemias;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Sensation Disorders;Celiac Disease;Hearing Loss;Pleurisy;Ventricular Flutter;Endometriosis;Periodontitis;Hepatomegaly;Eye Neoplasms;Complex Regional Pain Syndromes;Out-of-Hospital Cardiac Arrest;Aortic Aneurysm;Chronic Disease;Insect Bites and Stings;Tachycardia;"
GMDS	Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Ovarian Diseases;Temporomandibular Joint Disorders;
OR4A15	"Anemia, Pernicious;Neoplastic Processes;Diverticulitis;Cardiac Conduction Defect;Dermatomycoses;Thrombocytopenia;Disorders of other cranial nerves;Parkinson Disease;Cachexia;"
MOBKL2B	"Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Atrophic Vaginitis;Chronic Disease;Mastoiditis;Atrial flutter;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Amblyopia;Hematuria;Dysmenorrhea;"
MACROD2	"Breast Neoplasms;Mastoiditis;Kidney Diseases;Endometrial Hyperplasia;Nervous System Diseases;Sleep disorders;Diverticulitis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";""Aplastic anemia, idiopathic"";Gynecomastia;Purpura;Autonomic Nervous System Diseases;Chronic Disease;Myasthenia Gravis;Testicular Diseases;""Renal Failure, Progressive, with Hypertension"";Paget Disease Of Bone 4;Periodontitis;Muscle Weakness;Brain Concussion;Pulmonary Embolism;Gout;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Rosacea;"
KCNIP1	Cavernous Malformations of CNS and Retina;Arthralgia;Accessory pancreas;Epilepsy;
IL22RA2	"Rheumatoid Arthritis, Systemic Juvenile;Hemoptysis;Chronic Disease;Retinal Detachment;Liver Abscess;"
LHCGR	"Thrombocytopenia;Purpura;Adrenal Gland Diseases;Cholecystitis;Phosphorus Metabolism Disorders;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Urinary Bladder Neck Obstruction;"
FAS	"Colonic Neoplasms;Sciatica;""Sleep Apnea, Central"";Gout;Torticollis;Pulmonary Heart Disease;Uterine Cervical Diseases;"
TNFRSF13B	"Herpes Zoster;""Gait Disorders, Neurologic"";Hypernatremia;Hematemesis;Prostatitis;"
C8orf84	"Skin Neoplasms;Myopia;Thrombocytopenia;""Neoplasms, Connective Tissue"";Erectile Dysfunction;Liver Diseases;"
GABBR1	Essential Tremor;Sleep Apnea Syndromes;Peripheral Arterial Disease;Otitis Media;Peripheral Vascular Diseases;
BBX	Nail Diseases;Schizophrenia;
PBX2	"Celiac Disease;Hypoglycemia;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Prostatitis;Hypothyroidism;Tonsillitis;Kyphosis;Keratitis;Herpes Simplex;Heart Diseases;""Fractures, Stress"";"
HLA-DOA	"Familial Acute Myeloid Leukemia with Mutated Cebpa;Celiac Disease;Heart Diseases;""Polydipsia, Psychogenic"";Leukemia;Conjunctival Diseases;""Dermatitis, Seborrheic"";"
HCG22	"Dermatitis, Seborrheic;"
C2orf47	Sprains and Strains;Back Pain;Heart Septal Defects;
HCG27	"Cholangitis;Retinal Diseases;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
FAM126A	Retinal Detachment;Granulosa cell tumor of the ovary;Angina Pectoris;Retinal Hemorrhage;
KIF13A	"Herpes Zoster;Cervical Intraepithelial Neoplasia;""Abnormalities, Radiation-Induced"";""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";Strabismus;Inflammatory Bowel Disease;Choroid Diseases;"
MECOM	Renal Osteodystrophy;Tauopathy and Respiratory Failure;Purpura;Retinoschisis;Meningitis;
RARB	Mastoiditis;Liver Diseases;Intracranial Hemorrhages;Facial Nerve Diseases;Phosphorus Metabolism Disorders;Endometrial Hyperplasia;
SASH1	"Chronic Disease;Schizophrenia;""Renal Failure, Progressive, with Hypertension"";Urethral Stricture;Gastroenteritis;""Granuloma, Pyogenic"";Labyrinthitis;Graves Disease;Thyroiditis;Tauopathy and Respiratory Failure;""Fractures, Stress"";Heart Valve Diseases;Adrenal Gland Diseases;Constipation;Arthralgia;Brain Neoplasms;"
BRP44	"Bacteremia;Muscle Weakness;""Menopause, Premature"";""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";"
ZNF469	Choroid Diseases;Chondrocalcinosis;
IL2RB	Myasthenia Gravis;Brain Neoplasms;Myopia;Chronic Disease;Periodontitis;
IL2RA	"Incisional Hernia;Anisometropia;Pericarditis;Myocardial Infarction;Constipation;Spinal Stenosis;""Influenza, Human"";Duodenal Ulcer;""Menopause, Premature"";Subarachnoid Hemorrhage;Borderline Personality Disorder;""Dermatitis, Seborrheic"";Chronic Disease;Fever of Unknown Origin;Hypothyroidism;""Granuloma, Pyogenic"";Myasthenia Gravis;Temporomandibular Joint Disorders;Skin Neoplasms;""Rheumatoid Arthritis, Systemic Juvenile"";Leukemia;Muscular Dystrophies;Diverticulosis;Aphasia;Facial Nerve Diseases;Tauopathy and Respiratory Failure;Hereditary Breast and Ovarian Cancer Syndrome;Esophageal Motility Disorders;"
ZBTB38	"Parasomnias;Crohn Disease;""Dermatitis, Seborrheic"";Pruritus;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Alopecia;Chronic Disease;Pneumoconiosis;Breast Neoplasms;Keratitis;Asthma;Hallux Valgus;Kyphosis;Hodgkin Disease;Myopia;Uterine Neoplasms;Alcohol-Related Disorders;""Carbohydrate Metabolism, Inborn Errors"";"
PCIF1	"Tauopathy and Respiratory Failure;Jaw Diseases;Pharyngitis;Lung Neoplasms;Adjustment Disorders;Orbital Cellulitis;Chronic Disease;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
ZNF746	"Abnormalities, Radiation-Induced;Iatrogenic Disease;Blindness;Diabetic Retinopathy;""Diabetes Mellitus, Type 2"";""Genital Neoplasms, Male"";Hypoglycemia;Endocarditis;Spinal Cord Diseases;Erythema;"
SPTBN1	"Mood Disorders;""Depression, Postpartum"";Lip Diseases;"
IL13	Dermatomycoses;Uterine Prolapse;
ZNF706	Blister;Shock;Pleurisy;Obesity;Overweight;Hypocalcemia;Brain Neoplasms;Pulmonary Embolism;Hyperparathyroidism;Bundle-Branch Block;
ZFHX3	Hypertension;Macular Degeneration;Retinal Drusen;Retinal Diseases;
NT5C1A	"Intervertebral disc disease;Intervertebral Disc Degeneration;""Goiter, Multinodular "";Spinal Stenosis;Pediatric ulcerative colitis;Gastrointestinal Diseases;"
ATPBD4	Chronic Disease;Hypothyroidism;Asthma;Rheumatic Fever;
SHISA9	Tauopathy and Respiratory Failure;Hearing Loss;Thyrotoxicosis;
UQCC	"Parkinson Disease;""Menopause, Premature"";Out-of-Hospital Cardiac Arrest;Varicose Veins;Corneal Opacity;Polycythemia Vera;Periapical Diseases;""Genital Neoplasms, Female"";Dental Caries;""Insomnia, Fatal Familial"";Hematuria;Gastroparesis;"
SEC14L1	"Hypertensive Retinopathy;""Diabetes Mellitus, Type 7"";Diabetic Retinopathy;""Glaucoma, Primary Open Angle"";""Diabetes Mellitus, Type 3"";""Diabetes Mellitus, Type 2"";Diabetes mellitus;""Diabetes Mellitus, Type 4"";""Hernia, Femoral"";"
VAV2	"Chronic Disease;Lyme Disease;Drug Resistant Epilepsy;Cholangitis;Tympanic Membrane Perforation;""Glaucoma 1, Open Angle, A"";""Diabetes Mellitus, Type 6"";Bacteremia;Liver Diseases;Hematuria;"
GRIK5	"Ankylosis;Subarachnoid Hemorrhage;Sebaceous Gland Diseases;Dislocations;""Glaucoma 1, Open Angle, A"";"
C10orf122	"Liver Diseases, Alcoholic;""Genital Neoplasms, Female"";Cholecystitis;Hyperhidrosis;"
NAV2	"Diabetes Mellitus, Type 4;Dyspareunia;Uterine Prolapse;Dermatomycoses;Lipoma;Mastodynia;Multiple Myeloma;Hallux Valgus;Tuberculosis;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Chronic Disease;""Conjunctivitis, Allergic"";"
CDH13	"Adenocarcinoma in Situ;Familial Acute Myeloid Leukemia with Mutated Cebpa;Cardiomyopathies;""Pneumonia, Viral"";Glomerulonephritis;Macular Degeneration;Biliary cirrhosis;Basal Ganglia Cerebrovascular Disease;""Pneumonia, Pneumococcal"";""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Sprains and Strains;Bipolar Disorder;Aphakia;Retinal Drusen;Otitis Media;Bacteremia;""Gastritis, Atrophic"";Retinoschisis;""Diabetes Mellitus, Type 5"";Herpes Simplex;Mood Disorders;Alopecia Areata;"
ISM1	Cholangitis;Pancytopenia;Intervertebral disc disease;Pancreatitis;Heart Failure;Accessory pancreas;Hypotension;Movement Disorders;Idiopathic orthostatic hypotension;
PPP2R2B	"Cardiomyopathies;""Polydipsia, Psychogenic"";Brain Neoplasms;Hydronephrosis;""Cardiomyopathy, Dilated"";"
FDPSP6	Adjustment Disorders;Breast Diseases;Sleep Apnea Syndromes;Lip Diseases;Personality Disorders;
RPN2	"Labyrinthitis;""Larynx, Congenital Partial Atresia of"";""Alveolitis, Extrinsic Allergic"";Vitamin D Deficiency;Lymphadenitis;Liver Abscess;"
FAM49B	"Skin Neoplasms;Neoplastic Processes;Erectile Dysfunction;Bone Neoplasms;Hyperbilirubinemia;Intervertebral Disc Displacement;""Tachycardia, Sinoatrial Nodal Reentry"";Chronic Disease;Duodenal Ulcer;Bacteremia;Sebaceous Gland Diseases;Aphakia;Tension-Type Headache;Uterine Cervical Diseases;Back Pain;"
USP44	Hammer Toe Syndrome;Parkinson Disease;Digestive System Diseases;Myopia;Obsessive-Compulsive Disorder;
FGFR1OP	"Alopecia Areata;""Genital Neoplasms, Female"";Hereditary Breast and Ovarian Cancer Syndrome;Cholelithiasis;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";""Keratosis, Actinic"";Restless Legs Syndrome;Breast Neoplasms;Fasciitis;""Diabetes Mellitus, Type 4"";Gastroparesis;Hemorrhagic Septicemia;Purpura;"
USP40	Polyarteritis Nodosa;Dysthymic Disorder;Hyponatremia;Hereditary Breast and Ovarian Cancer Syndrome;Pancreatitis;
ARID5B	Hyponatremia;Water-Electrolyte Imbalance;Iron Metabolism Disorders;Neutropenia;Psoriasis;Familial Acute Myeloid Leukemia with Mutated Cebpa;
IGLL1	Retinal Diseases;Bone Neoplasms;Thyroiditis;
PLCB2	Familial Acute Myeloid Leukemia with Mutated Cebpa;Alopecia;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Chronic Disease;Multiple Sclerosis;Gingivitis;Skin Neoplasms;
PLCB1	"Stomach Diseases;Retinal Drusen;Retinal Diseases;Dyspepsia;Macular Degeneration;Memory Disorders;""Influenza, Human"";Glycosuria;""Menopause, Premature"";Pneumoconiosis;Dislocations;Glaucoma;Gastroparesis;Testicular Diseases;"
RAPGEF5	"Genital Neoplasms, Male;Pancytopenia;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";""Diabetes Mellitus, Type 4"";Cholelithiasis;Upper Extremity Deep Vein Thrombosis;Syncope;""Prostate cancer, familial"";"
MINPP1	"Iatrogenic Disease;Keratoconjunctivitis Sicca;Corneal dystrophy and perceptive deafness;Retinal Detachment;Psoriasis;""Tachycardia, Sinoatrial Nodal Reentry"";Skin Neoplasms;"
INSR	"Movement Disorders;""Carcinoma, Renal Cell"";Uterine Neoplasms;""Alveolitis, Extrinsic Allergic"";Pulmonary Embolism;""Gait Disorders, Neurologic"";Exophthalmos;Kidney Neoplasms;Breast Neoplasms;Herpes Zoster;Myopia;Pneumonia;"
RERE	"Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries;Pruritus;Tonsillitis;Obesity;Overweight;Osteitis Deformans;Salivary Gland Diseases;"
SGCD	"Epistaxis;Chronic Disease;Cholecystitis;Borderline Personality Disorder;Migraine Disorders;Salivary Gland Diseases;Enteritis;Out-of-Hospital Cardiac Arrest;Heart Valve Diseases;Tinnitus;Essential Tremor;Migraine with Aura;Heartburn;Erectile Dysfunction;""Conjunctivitis, Allergic"";"
FOXQ1	"Chronic Disease;Speech Disorders;Hammer Toe Syndrome;""Pneumonia, Bacterial"";Obesity;""Foot Deformities, Acquired"";"
CCT7P2	"Angina Pectoris;Jaundice;""Dermatitis, Seborrheic"";Mental Disorders;Uterine Prolapse;Presenile And Senile Dementia;Hemorrhagic Septicemia;Alzheimer Disease;"
RFTN1	"Enteritis;""Cardiac Arrhythmia, Ankyrin-B-Related"";Hammer Toe Syndrome;Psoriasis;Spondylosis;Testicular Hydrocele;Digestive System Neoplasms;Hypertensive Retinopathy;""Hernia, Femoral"";Iatrogenic Disease;Chondrocalcinosis;""Menopause, Premature"";Gout;Mastoiditis;"
IDS	"Brain Neoplasms;Pneumothorax;""Larynx, Congenital Partial Atresia of"";Migraine with Aura;Overweight;Iatrogenic Disease;Labyrinthitis;Muscular Dystrophies;Chronic Disease;Dyspepsia;"
NOG	"Renal Colic;Rheumatic Fever;Pericarditis;Chronic Disease;Varicose Veins;Cholelithiasis;Hypovolemia;Barrett Esophagus;""Dermatitis, Seborrheic"";"
TNFSF4	Alopecia Areata;Diverticulosis;Duodenal Ulcer;Myelodysplastic-Myeloproliferative Diseases;Biliary cirrhosis;Hematemesis;
GP1BA	Arthralgia;Psoriasis;Adenocarcinoma in Situ;Spinal Stenosis;Periostitis;Barrett Esophagus;
CD86	"Asthma;Thyroiditis;Emphysema;Cardiomegaly;Airway Obstruction;Chronic Disease;Cardiomyopathies;Heart Diseases;Heart Failure;""Heart Failure, Systolic"";"
TNRC6B	"Intestinal polyposis, osteomas, sebaceous cysts;Ovarian Cysts;""Phobia, Specific"";Hypoglycemia;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Absent breasts and nipples;Menstruation Disturbances;Hemiplegia;Gastroenteritis;Sebaceous Gland Diseases;Aphasia;Adrenal Gland Diseases;Skin Neoplasms;Sacroiliitis;Conduct Disorder;Chronic Disease;""Carbohydrate Metabolism, Inborn Errors"";Bronchopneumonia;Hyperbilirubinemia;"
SELP	Hypoventilation;Atrial Flutter;Urinary Retention;Hematuria;Chondrocalcinosis;Digestive System Neoplasms;Colonic Neoplasms;Cardiac Conduction Defect;Gangrene;Pediatric ulcerative colitis;Atrial Fibrillation;Hepatomegaly;Temporomandibular Joint Disorders;
PLA2G12A	Feeding and Eating Disorders;Colonic Neoplasms;Enteritis;Spinal Stenosis;Iron Metabolism Disorders;Adenocarcinoma in Situ;Alcoholism;Alcohol-Related Disorders;
LIN28B	Essential Tremor;Sexual and Gender Disorders;Digestive System Neoplasms;Iatrogenic Disease;Cellulitis;Cystitis;
CDKN2B-AS1	"Myocardial Infarction;Chronic Disease;Angina Pectoris;Paraproteinemias;Heart Diseases;""Diabetes Mellitus, Type 4"";Basal Ganglia Cerebrovascular Disease;Hypotension;Hemorrhoids;""Lower Extremity Deformities, Congenital"";Cardiac Conduction Defect;Aphasia;Aortic Aneurysm;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Osteoarthritis;Esophagitis;Airway Obstruction;Peptic Ulcer;""Diabetes Mellitus, Type 3"";""Glaucoma 1, Open Angle, A"";Muscle Weakness;Rosacea;Mild Cognitive Impairment;""Diabetes Mellitus, Type 6"";""Cardiac Arrhythmia, Ankyrin-B-Related"";""Diabetes Mellitus, Type 5"";""Acne, Adult"";Epistaxis;Cystitis;Cerebrovascular Disorders;Pediatric ulcerative colitis;Gastrointestinal Hemorrhage;Out-of-Hospital Cardiac Arrest;""Renal Failure, Progressive, with Hypertension"";Movement Disorders;""Sleep Apnea, Central"";Thrombocytopenia;Dry Eye Syndromes;""Glaucoma, Primary Open Angle"";Pancytopenia;Hypernatremia;Ventricular Flutter;Atrial Fibrillation;Drug Resistant Epilepsy;Wandering Spleen;"
GATA3	"Personality Disorders;Chronic Disease;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Dysthymic Disorder;Diaphragmatic Hernia;Anxiety Disorders;""Heart Failure, Systolic"";Airway Obstruction;Heart Failure;Cellulitis;Borderline Personality Disorder;Barrett Esophagus;Appendicitis;Kidney Neoplasms;"
NUTF2	Periapical Diseases;Periapical Abscess;Feeding and Eating Disorders;Psoriasis;Heart Valve Diseases;
SEL1L3	Anxiety Disorders;Cerebrospinal Fluid Otorrhea;Dysthymic Disorder;
ACCN1	"Laryngeal Atresia, Encephalocele, and Limb Deformities;Prurigo;Menstruation Disturbances;Aphakia;Retinoschisis;Orbital Cellulitis;""Diabetes Mellitus, Type 7"";Syncope;Herpes Zoster;"
GRB10	"Colonic Neoplasms;Myopia;Wandering Spleen;""Hyperparathyroidism, Secondary"";Digestive System Neoplasms;"
HLA-DRA	"Rheumatoid Arthritis, Systemic Juvenile;""Diabetes Mellitus, Type 3"";""Diabetes Mellitus, Type 1"";""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 2"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Hypoglycemia;Autonomic Nervous System Diseases;Linear IgA Bullous Dermatosis;""Diabetes Mellitus, Type 6"";Retinoschisis;Adrenal Gland Diseases;Chronic Disease;Respiratory System Abnormalities;Diabetes mellitus;Gastrointestinal Diseases;Rosacea;Pericarditis;Hematuria;Heart Diseases;Retinal Diseases;Thyrotoxicosis;""Diabetes Mellitus, Type 7"";Diabetic Retinopathy;Atherosclerosis;Conduct Disorder;Testicular Hydrocele;""Leukemia, Lymphoid"";""Lupus Erythematosus, Discoid"";Asthma;""Lupus Erythematosus, Systemic"";Meningitis;Heart Valve Diseases;""Neoplasms, Connective Tissue"";Macular Degeneration;Celiac Disease;Impetigo;Skin Neoplasms;""Diabetes Mellitus, Type 5"";Meniere Disease;Gynecomastia;Cardiomyopathies;Pneumonia;Prostatitis;Intervertebral Disc Displacement;Intervertebral disc disease;Testicular Diseases;""Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"";Intracranial Hemorrhages;Hypothyroidism;Bone Neoplasms;Prurigo;Anorexia;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Dysuria;"
LPA	Gastrointestinal Diseases;Hepatomegaly;Chronic Disease;
GRB14	"Kyphosis;Lyme Disease;""Abnormalities, Radiation-Induced"";Hyperlipidemias;Odontoma dysphagia syndrome;""Granuloma, Pyogenic"";Hypercholesterolemia;Retinal Hemorrhage;Enteritis;Raynaud Disease;Abdominal pain;Peptic Ulcer;Intervertebral Disc Displacement;Tonsillitis;Intervertebral disc disease;Candidiasis;Heartburn;Iron Metabolism Disorders;"
STK11	Heart Septal Defects;Urethritis;Water-Electrolyte Imbalance;Hepatitis C;
C6orf183	"Paranoid Disorders;Emphysema;Lip Diseases;Hyponatremia;Chronic Disease;""Tachycardia, Sinoatrial Nodal Reentry"";Jaundice;Heart Septal Defects;"
HTR4	"Familial Acute Myeloid Leukemia with Mutated Cebpa;Hammer Toe Syndrome;""Glaucoma 1, Open Angle, A"";Cervical Intraepithelial Neoplasia;Intracranial Hemorrhages;""Hepatitis, Viral, Human"";""Goiter, Multinodular "";Eosinophilia;Hyperventilation;Cellulitis;"
HCCS	"Brain Neoplasms;Intracranial Hemorrhages;Hyponatremia;Incisional Hernia;""Diabetes Mellitus, Type 7"";Colonic Neoplasms;Conduct Disorder;Hirsutism;Vitamin B 12 Deficiency;"
WDR1	Gout;Neutropenia;Somatoform Disorders;Crohn Disease;
PSMA7P	"Corneal Dystrophy, Fuchs Endothelial, 3;Intracranial Hemorrhages;""Glaucoma 1, Open Angle, A"";Corneal Diseases;Granulosa cell tumor of the ovary;Spinal Stenosis;Choroid Diseases;Alopecia Areata;Diabetic Retinopathy;Corneal dystrophy and perceptive deafness;Syncope;Chronic Disease;"
C6orf103	"Angina Pectoris;""Intestinal polyposis, osteomas, sebaceous cysts"";Out-of-Hospital Cardiac Arrest;Hyperlipidemias;""Dermatitis, Seborrheic"";Personality Disorders;Spermatocele;Cholecystitis;Syncope;Peptic Ulcer;Myocardial Infarction;Hemorrhoids;"
NKX3-1	"Diabetes Mellitus, Type 1;Upper Extremity Deep Vein Thrombosis;Trigeminal Nerve Diseases;""Prostate cancer, familial"";""Diabetes Mellitus, Type 2"";Basal Ganglia Cerebrovascular Disease;Diabetes mellitus;Chronic Disease;""Diabetes Mellitus, Type 5"";Bacterial Infections;"
